N,mean,std
2,45.819,21.880
4,67.898,15.985
8,162.459,17.421
16,497.230,53.179
32,1915.0,696.702
64,5988.0,526.492
128,17807.0,1674.0
256,54388.0,2823.0
512,178044.0,5180.0
1024,640224.0,10338.0
2048,2512000,56938.0
